animalId,animalName,location,age,ageStatus,microchipId,species,breed1,breed2,sex,color1,color2,size,sterilized,vaccinated,houseTrained,registrationDate,shelterTenure,specialNeeds,goodWithDogs,goodWithCats,goodWithOther,goodWithChildren,fosterStatus
31150,Nala,home,4,baby,fFlUZ2B6WvrNdqy,cat,Tabby,None,female,yellow,white,medium,no,yes,no,2019-04-10,21,no,yes,no,yes,yes,Adopted
31151,Sophie Needs A Loving Home,shelter,4,baby,AaAlAYFnAjBqj2g,cat,Tuxedo,None,female,black,white,large,no,yes,yes,2019-03-22,40,no,yes,yes,yes,no,Pending
31152,PANDA,home,1,baby,RQTgmnSeOIjGo8m,cat,Domestic Medium Hair,None,male,black,white,small,no,no,yes,2019-03-29,33,no,yes,no,no,yes,Adopted
31153,Chook Chook (Urgent Adoption),shelter,44,adult,zZKTteI89JYzFnc,cat,Siamese,None,female,brown,cream,medium,yes,yes,yes,2019-04-25,6,no,yes,yes,no,no,Pending
31154,Bibi,home,1,baby,fkvZ0ztOQLx6t4C,dog,Mixed Breed,None,female,white,None,medium,no,no,yes,2019-01-08,113,no,yes,no,yes,no,Adopted
31155,Olive,foster home,24,young,oA8M6an5WutTqb0,dog,Terrier,Mixed Breed,female,cream,None,medium,yes,yes,no,2019-01-25,96,no,no,yes,yes,no,Not available to foster
31156,Snowy,shelter,3,baby,wQYM0ke7a1YQhDr,cat,Domestic Short Hair,None,male,white,None,medium,no,no,no,2019-04-12,19,no,yes,yes,yes,no,Available to foster
31157,Snoopy,home,3,baby,kL9VmxNmovsyubE,dog,Mixed Breed,German Shepherd Dog,male,brown,cream,medium,yes,no,yes,2019-04-15,16,no,no,no,yes,yes,Adopted
31158,Sporty The Jack Russell Mix â¥,home,2,baby,zxhDIzkR0FB4Lzv,dog,Mixed Breed,Mixed Breed,female,brown,white,medium,no,no,no,2019-01-22,99,no,no,yes,yes,no,Adopted
31159,Kelly,shelter,36,adult,6tMoa1mUkJ24YFw,cat,Domestic Short Hair,Calico,female,black,yellow,medium,yes,yes,no,2019-01-30,91,no,no,yes,yes,no,Available to foster
31160,Miss Tinnie,home,1,baby,S45C2A4BT9g4HjK,cat,Persian,Calico,female,black,golden,medium,no,yes,yes,2019-03-18,44,no,no,yes,yes,yes,Adopted
31161,No name,shelter,2,baby,g2xTfmPFe863FSP,cat,Domestic Medium Hair,None,female,white,None,medium,no,no,yes,2019-03-29,33,no,no,no,yes,no,Available to foster
31162,Lexii,shelter,2,baby,pECOwEA80wsT8IH,dog,Mixed Breed,None,female,black,brown,medium,no,no,yes,2019-03-01,61,no,no,no,yes,yes,Available to foster
31163,Cat D,home,4,baby,0fWZnokvMbRGEff,cat,Domestic Short Hair,None,female,brown,yellow,small,no,yes,yes,2019-04-13,18,no,yes,yes,yes,no,Adopted
31164,Minnie,shelter,1,baby,EpcnSXbisSVU28S,dog,Mixed Breed,None,female,black,brown,medium,no,no,yes,2019-04-19,12,no,yes,yes,yes,yes,Available to foster
31165,No name,shelter,2,baby,yn0Qh0EtI9nk4SR,cat,Domestic Medium Hair,None,male,black,cream,large,yes,yes,yes,2019-01-31,90,no,no,no,yes,yes,Pending
31166,Russell,shelter,12,young,BobTC7kyadngjaW,dog,Husky,None,male,yellow,white,medium,yes,yes,yes,2019-04-16,15,no,yes,yes,yes,no,Pending
31167,Ocelot,foster home,6,baby,qesPsIEP0n8hCpb,cat,Domestic Short Hair,None,female,black,yellow,small,yes,no,no,2019-03-05,57,no,no,no,yes,no,Not available to foster
31168,Carameow,shelter,12,young,PjQgSCGtbYFkald,cat,Domestic Short Hair,None,male,gray,white,medium,yes,yes,yes,2019-03-16,46,no,no,yes,no,yes,Available to foster
31169,Dutch,shelter,18,young,dh5eRhOySDfqRMG,dog,Dachshund,None,male,brown,None,small,yes,yes,yes,2019-03-18,44,no,yes,no,yes,no,Available to foster
31170,Jermaine,shelter,2,baby,RqblrXneSFTpswJ,dog,Mixed Breed,None,female,brown,None,medium,no,yes,no,2019-04-29,2,no,no,yes,no,no,Available to foster
31171,Cha Belle,foster home,10,young,UO2tHTYXMU4NOVE,cat,Domestic Medium Hair,None,female,black,brown,medium,no,no,yes,2019-01-01,120,no,yes,no,yes,yes,Not available to foster
31172,No name,home,2,baby,vTH52jrbo5jTIgh,dog,Mixed Breed,Labrador Retriever,male,brown,white,medium,no,no,yes,2019-02-18,72,no,no,yes,yes,yes,Adopted
31173,Creamy,foster home,2,baby,mFDeCdWGav7IeDW,dog,Mixed Breed,None,female,cream,None,medium,no,no,no,2019-04-05,26,no,no,no,yes,yes,Not available to foster
31174,A9,shelter,3,baby,s3MOb56lpBfG3OW,dog,Mixed Breed,Mixed Breed,male,black,brown,medium,no,yes,yes,2019-01-17,104,no,no,yes,yes,yes,Available to foster
31175,Rani Girl,shelter,5,baby,KbiLDwfzftPR62C,dog,Mixed Breed,None,female,black,brown,medium,yes,yes,yes,2019-01-04,117,no,no,no,yes,no,Available to foster
31176,Leena,home,5,baby,3CywrEp9wQNLnwJ,dog,German Shepherd Dog,Mixed Breed,female,black,brown,medium,yes,yes,yes,2019-01-28,93,no,yes,yes,yes,no,Adopted
31177,KiKi,home,2,baby,Us2EXDP6J1QZxms,cat,Domestic Short Hair,None,female,yellow,cream,small,no,no,yes,2019-01-19,102,no,yes,no,yes,yes,Adopted
31178,Si Kecik,shelter,6,baby,aoDQd6vDHpaccWI,cat,Domestic Short Hair,None,female,yellow,white,medium,no,no,yes,2019-04-08,23,no,yes,yes,yes,yes,Available to foster
31179,Venus,shelter,2,baby,6bRXUTSFbyiwUXe,dog,Mixed Breed,Mixed Breed,female,black,brown,medium,no,no,no,2019-02-09,81,medical,no,yes,yes,no,Available to foster
31180,Jelly Bean,foster home,1,baby,ZuWc4GOO9ECYMCi,dog,Mixed Breed,None,male,brown,white,medium,no,no,yes,2019-02-12,78,no,yes,no,no,yes,Not available to foster
31181,Omey,home,15,young,L350SUpX55JFPrb,cat,Siamese,None,female,gray,None,medium,no,yes,yes,2019-03-30,32,no,yes,no,no,yes,Adopted
31182,Malibu,shelter,5,baby,60NncqtaEENLgV5,cat,Oriental Short Hair,None,male,white,None,medium,no,yes,yes,2019-01-08,113,no,no,yes,yes,yes,Available to foster
31183,Brownie,foster home,1,baby,uRgOtZrP7xa2ZrL,dog,Mixed Breed,Mixed Breed,female,black,brown,small,no,no,yes,2019-01-15,106,no,no,no,yes,yes,Not available to foster
31184,MAX,home,36,adult,ATxZLWCuMlw8KKU,dog,Mixed Breed,None,male,brown,cream,small,yes,yes,yes,2019-01-06,115,no,no,no,yes,no,Adopted
31185,Velvet,foster home,9,young,Bcqh3bat8zkeU4h,cat,Bombay,None,female,black,None,small,yes,no,no,2019-04-12,19,no,no,no,no,no,Not available to foster
31186,Kato,shelter,6,baby,re6tRWkHzdCDUS6,dog,Schnauzer,Terrier,male,cream,gray,medium,no,yes,yes,2019-03-24,38,no,yes,no,no,yes,Available to foster
31187,No name,home,2,baby,xyGoODs6uI1uxlm,dog,Mixed Breed,None,female,black,brown,medium,no,no,yes,2019-04-07,24,no,yes,yes,yes,yes,Adopted
31188,Arlo,shelter,1,baby,ivdFeq5qwdDe7Za,dog,Mixed Breed,Mixed Breed,male,brown,None,small,no,no,yes,2019-01-22,99,no,no,yes,yes,yes,Available to foster
31189,K-4 Cute Ethan,home,24,young,qBL4k83tH13NzMy,dog,Pomeranian,Mixed Breed,male,yellow,white,small,no,no,yes,2019-03-14,48,no,no,no,yes,yes,Adopted
31190,[{(Border Collie Puppy No1)}],home,1,baby,Jfdi4wb1yhn6w3Z,dog,Border Collie,None,female,black,cream,medium,no,no,yes,2019-01-02,119,no,no,no,yes,yes,Adopted
31191,Chiclet,home,2,baby,HYluUOGY8WsxqAd,dog,Mixed Breed,None,female,black,brown,medium,no,no,yes,2019-02-08,82,no,yes,yes,yes,no,Adopted
31192,No name,foster home,3,baby,gOYcAx09FN6h0qT,dog,Mixed Breed,None,male,black,None,medium,no,no,yes,2019-04-30,1,no,yes,no,yes,no,Not available to foster
31193,No name,home,3,baby,zEZ6Yt1cSlT5H8j,cat,Siamese,Singapura,female,brown,white,small,no,no,no,2019-04-18,13,no,yes,yes,yes,yes,Adopted
31194,Meena,home,1,baby,4mAFhv1r8yowdrT,dog,Mixed Breed,None,female,black,brown,medium,no,yes,yes,2019-03-27,35,no,yes,no,yes,no,Adopted
31195,å°ä¸ç¹XIAO-BU-DIAN,shelter,36,adult,hbns7PlU9CbRjub,dog,Shih Tzu,None,female,brown,cream,small,no,yes,yes,2019-04-12,19,no,no,no,yes,no,Available to foster
31196,Daisy,home,6,baby,vezkXPlSf6mx953,dog,Mixed Breed,None,female,brown,None,medium,no,no,yes,2019-04-04,27,no,no,no,yes,yes,Adopted
31197,Stray,home,2,baby,qdotgJfosMpOnEy,cat,Abyssinian,None,female,black,brown,medium,no,no,yes,2019-02-02,88,no,yes,no,yes,no,Adopted
31198,Lil Miss,foster home,4,baby,sxSTg3lOroPbkI1,cat,Domestic Short Hair,Domestic Short Hair,female,black,gray,medium,no,no,yes,2019-03-09,53,no,no,yes,no,no,Not available to foster
31199,Ice,foster home,2,baby,k9sm8Tpw2mt3Hx0,cat,Domestic Short Hair,None,female,black,golden,medium,no,no,yes,2019-01-28,93,no,no,yes,yes,no,Not available to foster
31200,Owen,foster home,12,young,CABRcHPHmhbOxUV,cat,Domestic Medium Hair,None,male,golden,white,medium,no,yes,no,2019-02-08,82,no,yes,yes,no,no,Not available to foster
31201,éªéª,foster home,4,baby,KyLPzfixIO5hcGC,cat,Domestic Short Hair,None,female,white,None,small,yes,no,no,2019-03-26,36,no,no,no,yes,no,Not available to foster
31202,Bruno,home,2,baby,gHyQlK80Bi04sDk,dog,Mixed Breed,Mixed Breed,male,black,brown,medium,no,yes,no,2019-03-04,58,no,yes,yes,yes,no,Adopted
31203,Pablo,shelter,4,baby,CWIinFk3CRZ63db,cat,Tabby,Domestic Short Hair,male,yellow,white,small,no,no,yes,2019-01-14,107,no,yes,no,yes,no,Available to foster
31204,Bunny,home,36,adult,3zOlAGG4dtvJmlV,dog,Mixed Breed,None,female,brown,None,medium,yes,yes,yes,2019-02-12,78,no,no,yes,yes,no,Adopted
31205,Kaya,shelter,24,young,BxoCVLH9J2mXCuz,cat,Domestic Short Hair,Tabby,female,black,yellow,medium,yes,no,no,2019-03-03,59,no,yes,no,yes,no,Available to foster
31206,WONDER,shelter,24,young,3pZ2TqnNyn2nb07,dog,Golden Retriever,None,male,brown,None,large,no,no,yes,2019-03-29,33,no,yes,yes,no,yes,Available to foster
31207,Bobby,home,72,senior,76WV8x050TmcVVf,dog,Shih Tzu,None,male,brown,cream,small,no,yes,yes,2019-01-03,118,no,yes,yes,no,no,Adopted
31208,Abam,shelter,24,young,9zoZqU93pBtpRTg,cat,Domestic Long Hair,None,male,gray,white,large,no,no,yes,2019-01-29,92,no,yes,no,yes,no,Available to foster
31209,Burmese Kitten,home,3,baby,riyNeePZ0Kf7xRP,cat,Burmese,None,female,brown,cream,small,no,no,yes,2019-04-29,2,no,no,no,yes,yes,Adopted
31210,Eva,home,48,adult,ZpnzBmbYhmdcHym,cat,Maine Coon,None,female,black,brown,large,yes,yes,yes,2019-04-20,11,no,yes,no,yes,no,Adopted
31211,Jack,foster home,5,baby,CNMOkvHcC4RYAHG,dog,Jack Russell Terrier,Mixed Breed,male,white,None,medium,yes,yes,yes,2019-03-30,32,no,no,no,yes,yes,Not available to foster
31212,Miju,home,2,baby,gEpdkyeGWPG4XlK,cat,Domestic Short Hair,Oriental Short Hair,female,black,brown,small,no,no,yes,2019-03-24,38,no,yes,no,yes,no,Adopted
31213,Grey,shelter,2,baby,6jt2h2Hq1ZMyfAN,cat,Domestic Medium Hair,None,female,gray,None,small,no,no,yes,2019-01-14,107,no,yes,no,yes,no,Available to foster
31214,Pooki,shelter,24,young,QyzPRuD0NxQpQ5F,dog,Poodle,None,male,white,None,small,no,no,no,2019-03-29,33,no,no,yes,yes,yes,Available to foster
31215,No name,shelter,72,senior,LsWKkCoIploIhkJ,dog,Beagle,None,male,black,brown,medium,no,no,yes,2019-03-15,47,no,no,yes,yes,no,Available to foster
31216,Subject,shelter,2,baby,4Zz1llngXLWf7zG,dog,Mixed Breed,None,female,black,yellow,small,no,no,yes,2019-04-20,11,no,yes,no,yes,no,Pending
31217,*blue Eyes - Blackie*,shelter,1,baby,dIx9N6Z6flcwrIm,cat,Domestic Medium Hair,None,male,black,None,medium,no,no,yes,2019-02-07,83,no,yes,no,yes,no,Pending
31218,No name,home,2,baby,K8oYwpNzvrqNfXv,dog,Mixed Breed,None,female,brown,None,medium,no,no,yes,2019-03-21,41,no,no,yes,no,no,Adopted
31219,Flo & Maylee,shelter,2,baby,nevMIjiFNuEnUlq,dog,Mixed Breed,Doberman Pinscher,female,black,brown,medium,no,no,yes,2019-04-07,24,no,no,no,yes,yes,Available to foster
31220,Utih,shelter,1,baby,zWvtjU8ggapKIqn,cat,Domestic Short Hair,None,female,brown,white,large,no,no,yes,2019-04-16,15,no,yes,yes,no,no,Available to foster
31221,A M B E R,foster home,2,baby,5nF5JurvcbMH95R,cat,Tortoiseshell,Domestic Short Hair,female,brown,golden,medium,no,yes,no,2019-03-03,59,no,no,yes,yes,yes,Not available to foster
31222,Abby,home,7,young,ByMXl1AB1YqGtMI,dog,Mixed Breed,None,female,black,brown,medium,no,yes,no,2019-04-14,17,no,no,no,yes,no,Adopted
31223,Lika,home,3,baby,N0QrXjPm9pgfWHG,cat,Domestic Medium Hair,None,male,yellow,None,small,no,no,yes,2019-03-19,43,behavioral,yes,yes,yes,yes,Adopted
31224,Kitty ( As In City Kitty ),foster home,5,baby,criq3v6kEJqoywE,cat,Domestic Short Hair,None,male,black,golden,medium,yes,no,yes,2019-03-14,48,no,yes,yes,yes,no,Not available to foster
31225,Candy,shelter,3,baby,xCZcPY0yYzukF4r,dog,Beagle,Mixed Breed,female,brown,white,medium,no,yes,no,2019-01-12,109,no,yes,no,yes,yes,Available to foster
31226,Short Tailed Puppies,shelter,1,baby,XBuKPXYRMGjcZ9O,dog,Mixed Breed,None,female,brown,cream,medium,no,no,yes,2019-05-01,0,no,yes,yes,yes,no,Pending
31227,Cleopatra,shelter,13,young,5fCvCqU2tDP3v4a,cat,Domestic Medium Hair,None,female,black,brown,large,no,yes,no,2019-02-13,77,no,no,no,yes,no,Available to foster
31228,Freezer,shelter,24,young,rTwv4uhHyg8mbOI,cat,Domestic Short Hair,Tabby,female,black,brown,medium,yes,no,yes,2019-03-26,36,no,yes,yes,yes,yes,Available to foster
31229,Didi,home,3,baby,9NY1v7gMixmWpOi,cat,Tabby,None,male,brown,None,small,no,no,yes,2019-02-12,78,no,no,yes,yes,no,Adopted
31230,Snowie,foster home,13,young,Of7uGCUkgYtax4B,dog,Spitz,None,female,white,None,medium,no,yes,yes,2019-01-05,116,no,yes,yes,yes,yes,Not available to foster
31231,Corgi,home,2,baby,m0gZ4No30AgGTPJ,dog,Mixed Breed,Mixed Breed,female,brown,None,medium,no,no,no,2019-03-19,43,no,yes,no,yes,no,Adopted
31232,Little Coal,shelter,2,baby,ZjWuywuyuxZ4Nby,dog,Mixed Breed,None,female,black,None,medium,no,no,yes,2019-04-07,24,no,yes,yes,yes,no,Pending
31233,Hershey,shelter,8,young,dUid1tz1yLFWU2E,dog,Schnauzer,Poodle,female,cream,None,medium,yes,yes,yes,2019-04-15,16,no,no,no,no,no,Available to foster
31234,Angelini,home,2,baby,LhQvuePV7YZsSGh,dog,Mixed Breed,None,female,black,brown,medium,no,no,yes,2019-04-22,9,no,no,yes,yes,yes,Adopted
31235,Lulu,foster home,2,baby,cW1rDEpP656zrdP,cat,Domestic Short Hair,None,female,cream,gray,small,no,no,no,2019-01-07,114,no,no,yes,no,yes,Not available to foster
31236,No name,shelter,12,young,nv297UEsZDrQweG,cat,Domestic Short Hair,None,female,black,yellow,medium,no,no,yes,2019-03-24,38,no,no,yes,no,no,Available to foster
31237,Jack,foster home,18,young,VQ5ycPmghAJhWH9,dog,Mixed Breed,Corgi,male,cream,None,medium,no,yes,yes,2019-04-23,8,no,yes,no,yes,yes,Not available to foster
31238,Blackie,home,2,baby,mYav5BY9YBRuNfa,cat,Domestic Short Hair,None,male,black,None,small,no,no,no,2019-02-13,77,no,yes,no,no,no,Adopted
31239,Xiao Bai,foster home,2,baby,fbbgoc1RTaekDtK,dog,Mixed Breed,None,male,white,None,medium,no,no,yes,2019-02-25,65,no,no,yes,yes,no,Not available to foster
31240,Mega,foster home,84,senior,6QPnswY4vlkaZSa,cat,Domestic Short Hair,None,male,black,brown,large,yes,no,no,2019-03-27,35,no,yes,no,yes,no,Not available to foster
31241,Fifi,home,10,young,k5KkUx3knGU1Pf1,dog,Dachshund,Mixed Breed,female,black,brown,medium,yes,yes,no,2019-03-30,32,no,yes,no,yes,yes,Adopted
31242,Bird Bird,home,2,baby,FLPPEM6PIgif4uC,dog,Mixed Breed,Mixed Breed,male,black,white,medium,no,yes,yes,2019-01-27,94,no,yes,no,yes,yes,Adopted
31243,Flower,foster home,2,baby,cIpj8l0xweoyds4,cat,Calico,Domestic Short Hair,female,black,brown,medium,no,no,yes,2019-04-09,22,no,no,no,no,yes,Not available to foster
31244,Kitten 3,home,1,baby,xwFsxxKEl076yWv,cat,Domestic Short Hair,None,female,black,yellow,small,no,no,no,2019-03-13,49,no,no,yes,yes,yes,Adopted
31245,KFC Boy,foster home,1,baby,SVhpDGLzApQrcs0,cat,Domestic Medium Hair,None,male,golden,cream,medium,no,no,no,2019-02-04,86,no,yes,yes,yes,no,Not available to foster
31246,Frigga,home,36,adult,4H4LnClH8JitkuP,dog,Jack Russell Terrier,Mixed Breed,female,brown,white,medium,yes,yes,yes,2019-01-05,116,no,no,no,yes,no,Adopted
31247,Ashton,home,3,baby,k1dqhyJveyiU7Ze,cat,Domestic Short Hair,None,male,gray,white,medium,no,no,yes,2019-01-18,103,no,yes,yes,yes,yes,Adopted
31248,Munchkin,home,1,baby,oUxWhrLbDVCtGfK,cat,Domestic Medium Hair,None,male,golden,None,medium,no,no,no,2019-04-10,21,no,no,no,yes,no,Adopted
31249,Xindie,home,20,young,i90i1llLNCzeSYM,dog,Siberian Husky,Spitz,female,black,yellow,medium,yes,yes,yes,2019-04-16,15,no,yes,yes,no,yes,Adopted
31250,Stella,shelter,4,baby,QTlXBE2mNHAJNHf,dog,Rottweiler,Mixed Breed,female,black,brown,medium,no,yes,yes,2019-02-18,72,no,yes,no,yes,yes,Pending
31251,Winter,home,1,baby,vB03EzKubtV4qsH,dog,Golden Retriever,Mixed Breed,female,yellow,None,medium,no,yes,yes,2019-03-07,55,no,no,yes,yes,no,Adopted
31252,Prince,foster home,7,young,lllp3yTti1pGuwl,cat,Domestic Short Hair,None,male,gray,None,medium,yes,yes,yes,2019-01-09,112,no,no,yes,yes,yes,Not available to foster
31253,Massimo,home,3,baby,C0FeD2KN0gmavIp,dog,Labrador Retriever,Mixed Breed,male,yellow,None,large,yes,no,yes,2019-04-11,20,no,yes,yes,yes,yes,Adopted
31254,Baby,foster home,5,baby,OwwryljbEQ7TZZy,dog,Mixed Breed,None,female,black,brown,medium,no,yes,yes,2019-04-28,3,no,yes,yes,no,no,Not available to foster
31255,White Terrier,home,24,young,NmcBGj7Rf07ouuS,dog,Terrier,None,female,white,None,medium,no,no,yes,2019-04-27,4,behavioral,yes,yes,yes,yes,Adopted
31256,No name,foster home,24,young,431oWFEWyCU86mU,dog,Mixed Breed,Mixed Breed,female,yellow,None,large,no,no,yes,2019-04-03,28,no,no,no,no,no,Not available to foster
31257,Buddy,shelter,72,senior,xCSJOIKNm8pKmEW,cat,Domestic Short Hair,None,female,black,brown,large,yes,yes,yes,2019-01-02,119,no,no,no,yes,no,Pending
31258,Saloma,shelter,2,baby,axPHpa6Utqp2VS9,dog,Mixed Breed,None,female,black,brown,medium,no,no,yes,2019-01-17,104,no,no,no,yes,no,Pending
31259,CJ,home,2,baby,UYmD5OS0Glk8K9T,dog,Mountain Dog,None,male,brown,None,medium,no,no,yes,2019-02-09,81,no,yes,yes,yes,no,Adopted
31260,Faye Malinois Mixed,home,2,baby,8Rj2cndNGhVwoOC,dog,Mixed Breed,None,female,cream,None,medium,no,no,yes,2019-03-27,35,no,no,yes,yes,no,Adopted
31261,Rhino,shelter,1,baby,kKxSSHlZXd9a7bf,dog,Mixed Breed,None,male,brown,None,medium,no,no,yes,2019-03-18,44,no,yes,no,yes,yes,Available to foster
31262,Ricky,foster home,3,baby,SNPstDyHjCy3VCx,cat,Domestic Short Hair,None,male,black,white,medium,yes,yes,yes,2019-03-18,44,no,yes,yes,yes,yes,Not available to foster
31263,Bandit,shelter,48,adult,AyHeFNRHhwzbFUK,dog,Mixed Breed,None,female,black,brown,medium,no,no,yes,2019-02-02,88,no,yes,yes,yes,no,Available to foster
31264,Mimi,shelter,14,young,zDwCPOjls84Ip7l,cat,Calico,None,female,black,golden,small,yes,yes,yes,2019-04-30,1,no,no,no,yes,yes,Available to foster
31265,Cici,home,11,young,uQWNbsxubikkHSm,cat,Domestic Short Hair,None,female,black,yellow,medium,yes,yes,yes,2019-04-27,4,no,yes,yes,yes,no,Adopted
31266,No name,shelter,1,baby,62Qle8Y3HY9WgEx,cat,Domestic Short Hair,None,female,black,brown,small,no,no,yes,2019-03-16,46,no,no,yes,yes,yes,Available to foster
31267,Tiger,shelter,12,young,QRcF85LbiC6FUPs,cat,Domestic Short Hair,None,male,black,brown,large,no,yes,no,2019-03-23,39,no,yes,yes,yes,yes,Pending
31268,Brownie Who Is Not Brown,foster home,60,adult,pL7cjkuchSVVxY2,dog,Mixed Breed,None,female,white,None,small,no,yes,yes,2019-04-27,4,no,no,yes,yes,yes,Not available to foster
31269,Girl,shelter,6,baby,WmVGFcPOpWQuwVh,dog,Doberman Pinscher,None,female,black,brown,large,no,no,yes,2019-03-05,57,no,yes,yes,yes,yes,Pending
31270,Jenny,shelter,12,young,Y0yMisdezrCNI9N,dog,Mixed Breed,None,female,yellow,white,medium,yes,no,yes,2019-02-02,88,no,yes,yes,yes,yes,Available to foster
31271,No name,home,24,young,3s0JSX9F8aKOJ1G,dog,Poodle,None,female,brown,None,small,yes,yes,yes,2019-02-13,77,no,no,yes,yes,yes,Adopted
31272,Ah Wong,home,2,baby,w1d5gKl9AFbUVJG,dog,Mixed Breed,None,male,black,brown,medium,no,no,yes,2019-01-15,106,no,no,yes,yes,yes,Adopted
31273,Amber ( GSD Color) !,home,6,baby,LenVs9eYaDYosSZ,dog,Mixed Breed,None,female,black,brown,medium,no,no,yes,2019-04-07,24,no,yes,no,no,no,Adopted
31274,Sage,home,4,baby,c7moFrzm5vo4VJi,dog,Jack Russell Terrier,Terrier,female,brown,white,small,no,no,no,2019-02-28,62,no,no,no,no,yes,Adopted
31275,Macy,home,1,baby,L4Ez4yJnC3KDI4M,dog,Mixed Breed,None,female,black,brown,medium,no,no,no,2019-03-30,32,no,yes,yes,yes,no,Adopted
31276,Nicky,shelter,7,young,LhR2Wm3xNh1nuFt,dog,Mixed Breed,None,female,black,white,medium,yes,no,no,2019-03-03,59,no,no,yes,yes,yes,Available to foster
31277,"Big Moo Aka Lembu, Moonster, Gizmo",shelter,2,baby,ntHdmOse9vLsYia,cat,Domestic Short Hair,None,male,black,white,medium,no,no,yes,2019-02-28,62,no,no,yes,yes,yes,Available to foster
31278,Freyja,shelter,5,baby,nWGINAcB6YKnWJe,cat,Domestic Short Hair,None,female,brown,golden,small,no,yes,yes,2019-02-28,62,no,no,yes,yes,yes,Available to foster
31279,"Female Mix 1.5 Month-brown, Tan",foster home,1,baby,WQvcSUxBvZ5KuJ0,dog,Mixed Breed,None,female,black,brown,medium,no,no,yes,2019-03-19,43,no,yes,yes,no,yes,Not available to foster
31280,Abandoned Dog Up For Adoption,foster home,120,senior,9apjqXFkqIeSxbb,dog,Shih Tzu,None,male,gray,white,small,no,no,yes,2019-04-15,16,no,yes,yes,yes,yes,Not available to foster
31281,Britney,shelter,2,baby,HJeSdbKOu8nNM45,dog,Mixed Breed,None,female,yellow,cream,medium,no,no,yes,2019-03-29,33,no,no,yes,yes,no,Pending
31282,Casey,shelter,29,adult,bR1tqKJKHaqXce1,cat,Persian,Domestic Long Hair,female,black,brown,medium,no,no,yes,2019-02-23,67,no,no,yes,yes,yes,Available to foster
31283,Casper & Friends,home,5,baby,iufmqSVwepWokbE,cat,Domestic Medium Hair,None,male,black,golden,small,no,no,no,2019-01-03,118,no,yes,yes,yes,no,Adopted
31284,Lucas,shelter,12,young,YxeiV0iJMyWxhDS,dog,Mixed Breed,Labrador Retriever,male,brown,yellow,large,yes,no,yes,2019-01-04,117,no,yes,no,yes,yes,Available to foster
31285,Bubble,shelter,3,baby,tmlMJvyBNkGu6Rc,cat,Domestic Short Hair,None,male,black,white,small,yes,yes,yes,2019-03-03,59,no,no,yes,yes,yes,Available to foster
31286,SnuggleToes,home,1,baby,8JoYvDPZmcsmMIR,cat,Tabby,Domestic Short Hair,male,black,gray,medium,no,no,yes,2019-02-26,64,no,no,yes,yes,yes,Adopted
31287,Veee,shelter,2,baby,z6CTZ4DSUiPMR5V,cat,Domestic Short Hair,None,female,black,cream,medium,no,no,yes,2019-02-13,77,no,yes,yes,yes,no,Available to foster
31288,Jasmine,home,2,baby,NqeyGOq4MeF4GEr,dog,Mixed Breed,Mixed Breed,female,brown,None,medium,no,no,yes,2019-03-29,33,no,no,no,yes,yes,Adopted
31289,Tikka In Kulim,home,3,baby,YgFTNj9EFlvAfaO,dog,Mixed Breed,None,female,brown,None,large,no,no,yes,2019-04-30,1,no,yes,no,yes,no,Adopted
31290,Polar,shelter,6,baby,mUSwaJJ6Fa6CKQS,dog,Mixed Breed,None,female,white,None,medium,no,no,no,2019-01-18,103,no,yes,no,yes,yes,Available to foster
31291,Gizmo,foster home,4,baby,IVFVnOhL08L66yx,cat,Domestic Short Hair,None,male,brown,white,small,no,yes,no,2019-01-24,97,no,no,no,yes,no,Not available to foster
31292,Bridgette,home,2,baby,2QlBKxhmwKtlhGu,dog,Mixed Breed,None,female,brown,None,medium,no,yes,yes,2019-01-30,91,no,no,no,yes,no,Adopted
31293,Rex,home,9,young,81FV1NfUXRfxfMu,dog,German Shepherd Dog,None,male,black,None,large,yes,yes,yes,2019-03-13,49,no,yes,no,yes,no,Adopted
31294,Cute White Poodle Mix,home,21,young,aSHeLA85a96UqL3,dog,Poodle,None,male,white,None,small,no,yes,yes,2019-04-17,14,no,no,no,no,yes,Adopted
31295,3 Months Old Kitten,shelter,3,baby,MUQGPhX3FQZeESg,cat,Domestic Short Hair,None,female,brown,cream,medium,no,no,yes,2019-04-20,11,no,no,yes,yes,no,Available to foster
31296,Cats & Dog Up For Adoption [URGENT],home,36,adult,yS4fKTqQ4YnODN5,dog,Silky Terrier,None,male,brown,cream,medium,no,no,yes,2019-04-14,17,no,no,yes,yes,yes,Adopted
31297,Milky,home,2,baby,o04hY0u53Mjv7y1,dog,Mixed Breed,None,female,brown,None,medium,no,yes,yes,2019-03-20,42,no,no,no,yes,no,Adopted
31298,Schnauzel Mixed Breed,shelter,1,baby,ZmnvnLDrhnkYqRh,dog,Schnauzer,None,male,white,None,small,no,no,no,2019-03-31,31,no,no,yes,yes,yes,Available to foster
31299,Bessy,home,2,baby,zHAo3RKTIQ1GKeh,cat,Tabby,Tabby,female,gray,None,small,no,no,no,2019-02-03,87,no,yes,no,yes,yes,Adopted
31300,Sausage,shelter,12,young,jdVKTQaIPTuxKCj,dog,Mixed Breed,None,female,black,white,medium,no,no,no,2019-02-09,81,no,yes,no,yes,yes,Pending
